Current / A,V1  -sample/ uV,time/s
13.563555,-3.010219,21.104
13.594131,-3.014488,21.15
13.625372,-3.060779,21.195
13.655805,-3.127441,21.241
13.685887,-3.187293,21.287
13.715424,-3.243938,21.333
13.745903,-3.290225,21.378
13.776864,-3.324265,21.424
13.808106,-3.3238,21.47
13.838554,-3.316015,21.516
13.869368,-3.318398,21.561
13.899217,-3.289962,21.607
13.929638,-3.227853,21.653
13.959766,-3.171325,21.699
13.990123,-3.114424,21.745
14.267117,-2.687903,21.79
14.297092,-2.827098,22.204
14.32785,-3.015864,22.25
14.35807,-3.225683,22.295
14.388196,-3.430927,22.341
14.418285,-3.62898,22.387
14.449052,-3.8216,22.433
14.480137,-4.012913,22.479
14.511521,-4.181456,22.524
14.541344,-4.323663,22.57
14.571528,-4.431823,22.616
14.602132,-4.492211,22.662
14.632846,-4.522126,22.708
14.663323,-4.519592,22.754
14.694461,-4.4991,22.799
14.725484,-4.475299,22.845
14.827671,-4.365228,22.891
14.857925,-4.339324,23.046
14.888256,-4.326083,23.092
15.140291,-4.329818,23.138
15.171283,-4.023619,23.516
15.202153,-3.894027,23.562
15.231472,-3.790056,23.608
15.262092,-3.738351,23.654
15.293217,-3.76069,23.699
15.324111,-3.843689,23.745
15.354077,-3.931907,23.791
15.385971,-3.994695,23.837
15.416308,-4.000351,23.883
15.446376,-3.939954,23.928
15.55977,-3.533957,23.974
15.590277,-3.432433,24.145
15.621222,-3.329863,24.191
15.731951,-3.226394,24.237
15.762583,-2.894688,24.404
15.793109,-2.90075,24.45
15.823808,-2.960346,24.496
15.85475,-3.030757,24.541
15.885282,-3.081735,24.587
15.915925,-3.107034,24.633
15.946203,-3.094496,24.679
15.977425,-3.01281,24.725
16.007617,-2.899103,24.771
16.038356,-2.832584,24.817
16.068748,-2.81027,24.862
16.100046,-2.734301,24.908
16.130033,-2.605344,24.953
16.159952,-2.48645,24.999
16.190056,-2.402889,25.045
16.293393,-2.167931,25.091
16.325145,-2.015953,25.247
16.356136,-1.87633,25.293
16.465454,-1.760274,25.338
16.496722,-1.569845,25.504
16.527135,-1.631461,25.55
16.558055,-1.713131,25.596
16.588526,-1.786431,25.641
16.618806,-1.843812,25.687
16.648046,-1.88447,25.733
16.678749,-1.914552,25.779
16.709427,-1.933893,25.825
16.740954,-1.96637,25.871
16.771888,-2.026027,25.916
16.802059,-2.104928,25.962
16.832322,-2.173924,26.008
16.862846,-2.212383,26.054
16.893269,-2.228707,26.1
16.923924,-2.209747,26.145
17.028448,-2.132281,26.191
